Program "PAW_protein_grouper.py" run on Fri May  8 06:42:05 2020


	=SUBTOTAL(109,B6:B9936)															
8790	1	sp|Q9HBM0|VEZA_HUMAN	 	 	 	 	7.2	779	88664	Vezatin OS=Homo sapiens (Human) OX=9606 GN=VEZT PE=1 SV=3	4	4	1.000	4	4	4.000
8791	1	sp|Q9HBM1|SPC25_HUMAN	 	 	 	 	57.6	224	26152	Kinetochore protein Spc25 OS=Homo sapiens (Human) OX=9606 GN=SPC25 PE=1 SV=1	29	29	1.000	29	29	29.000
8792	1	sp|Q9HBM6|TAF9B_HUMAN	 	 	sp|Q16594|TAF9_HUMAN, sp|Q9HBM6|TAF9B_HUMAN	 	31.9	251	27622	Transcription initiation factor TFIID subunit 9B OS=Homo sapiens (Human) OX=9606 GN=TAF9B PE=1 SV=1	14	7	0.500	14	7	11.455
8793	1	sp|Q9HBR0|S38AA_HUMAN	 	 	 	 	6.6	1119	119761	Putative sodium-coupled neutral amino acid transporter 10 OS=Homo sapiens (Human) OX=9606 GN=SLC38A10 PE=1 SV=2	13	13	1.000	13	13	13.000
8794	1	sp|Q9HBU6|EKI1_HUMAN	 	 	 	 	9.3	452	50968	Ethanolamine kinase 1 OS=Homo sapiens (Human) OX=9606 GN=ETNK1 PE=1 SV=1	4	4	1.000	4	4	4.000
8795	1	sp|Q9HC07|TM165_HUMAN	 	 	 	 	21.9	324	34905	Transmembrane protein 165 OS=Homo sapiens (Human) OX=9606 GN=TMEM165 PE=1 SV=1	6	6	1.000	6	6	6.000
8796	1	sp|Q9HC16|ABC3G_HUMAN	 	 	sp|Q8IUX4|ABC3F_HUMAN, sp|Q9HC16|ABC3G_HUMAN	 	13.0	384	46407	DNA dC->dU-editing enzyme APOBEC-3G OS=Homo sapiens (Human) OX=9606 GN=APOBEC3G PE=1 SV=1	9	6	0.667	9	6	7.800
8797	1	sp|Q9HC21|TPC_HUMAN	 	 	 	 	16.2	320	35511	Mitochondrial thiamine pyrophosphate carrier OS=Homo sapiens (Human) OX=9606 GN=SLC25A19 PE=1 SV=1	20	20	1.000	20	20	20.000
8798	1	sp|Q9HC35|EMAL4_HUMAN	 	 	 	 	24.0	981	108915	Echinoderm microtubule-associated protein-like 4 OS=Homo sapiens (Human) OX=9606 GN=EML4 PE=1 SV=3	40	40	1.000	40	40	40.000
8799	1	sp|Q9HC36|MRM3_HUMAN	 	 	 	 	16.0	420	47019	rRNA methyltransferase 3, mitochondrial OS=Homo sapiens (Human) OX=9606 GN=MRM3 PE=1 SV=2	7	7	1.000	7	7	7.000
8800	1	sp|Q9HC38|GLOD4_HUMAN	 	 	 	 	51.4	313	34793	Glyoxalase domain-containing protein 4 OS=Homo sapiens (Human) OX=9606 GN=GLOD4 PE=1 SV=1	93	93	1.000	93	93	93.000
8801	1	sp|Q9HC52|CBX8_HUMAN	 	 	 	 	16.5	389	43395	Chromobox protein homolog 8 OS=Homo sapiens (Human) OX=9606 GN=CBX8 PE=1 SV=3	12	12	1.000	12	12	12.000
8802	1	sp|Q9HC56|PCDH9_HUMAN	 	 	 	 	1.5	1237	136063	Protocadherin-9 OS=Homo sapiens (Human) OX=9606 GN=PCDH9 PE=1 SV=2	4	4	1.000	4	4	4.000
8803	1	sp|Q9HC62|SENP2_HUMAN	 	 	 	 	5.8	589	67854	Sentrin-specific protease 2 OS=Homo sapiens (Human) OX=9606 GN=SENP2 PE=1 SV=3	4	4	1.000	4	4	4.000
8804	1	sp|Q9HC84|MUC5B_HUMAN	 	 	sp|P98088|MUC5A_HUMAN, sp|Q9HC84|MUC5B_HUMAN	 	1.7	5762	596334	Mucin-5B OS=Homo sapiens (Human) OX=9606 GN=MUC5B PE=1 SV=3	9	8	0.889	9	8	8.889
8805	1	sp|Q9HCC0|MCCB_HUMAN	 	 	 	 	48.3	563	61332	Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial OS=Homo sapiens (Human) OX=9606 GN=MCCC2 PE=1 SV=1	98	98	1.000	98	98	98.000
8806	1	sp|Q9HCD5|NCOA5_HUMAN	 	 	 	 	22.1	579	65536	Nuclear receptor coactivator 5 OS=Homo sapiens (Human) OX=9606 GN=NCOA5 PE=1 SV=2	40	40	1.000	40	40	40.000
8807	1	sp|Q9HCD6|TANC2_HUMAN	 	 	sp|Q9C0D5|TANC1_HUMAN, sp|Q9HCD6|TANC2_HUMAN	 	10.8	1990	219647	Protein TANC2 OS=Homo sapiens (Human) OX=9606 GN=TANC2 PE=1 SV=3	34	33	0.971	34	33	33.717
8808	1	sp|Q9HCE0|EPG5_HUMAN	 	 	 	 	3.6	2579	292477	Ectopic P granules protein 5 homolog OS=Homo sapiens (Human) OX=9606 GN=EPG5 PE=1 SV=2	9	9	1.000	9	9	9.000
8809	1	sp|Q9HCE1|MOV10_HUMAN	 	 	 	 	33.2	1003	113670	Helicase MOV-10 OS=Homo sapiens (Human) OX=9606 GN=MOV10 PE=1 SV=2	66	66	1.000	66	66	66.000
8810	1	sp|Q9HCE5|MET14_HUMAN	 	 	 	 	13.4	456	52150	N6-adenosine-methyltransferase non-catalytic subunit OS=Homo sapiens (Human) OX=9606 GN=METTL14 PE=1 SV=2	9	9	1.000	9	9	9.000
8811	1	sp|Q9HCE6|ARGAL_HUMAN	 	 	 	 	10.5	1279	140378	Rho guanine nucleotide exchange factor 10-like protein OS=Homo sapiens (Human) OX=9606 GN=ARHGEF10L PE=1 SV=4	17	17	1.000	17	17	17.000
8812	1	sp|Q9HCE7|SMUF1_HUMAN	 	 	sp|Q9HAU4|SMUF2_HUMAN, sp|Q9HCE7|SMUF1_HUMAN	 	4.4	757	86113	E3 ubiquitin-protein ligase SMURF1 OS=Homo sapiens (Human) OX=9606 GN=SMURF1 PE=1 SV=2	4	1	0.250	4	1	1.375
8813	1	sp|Q9HCG1|ZN160_HUMAN	 	 	sp|A2RRD8|ZN320_HUMAN, sp|Q5HY98|ZN766_HUMAN, sp|Q6ZN06|ZN813_HUMAN, sp|Q86XN6|ZN761_HUMAN, sp|Q96IR2|ZN845_HUMAN, sp|Q9HCG1|ZN160_HUMAN, sp|Q9NV72|ZN701_HUMAN	 	3.2	818	94111	Zinc finger protein 160 OS=Homo sapiens (Human) OX=9606 GN=ZNF160 PE=2 SV=3	3	2	0.667	3	2	2.250
8814	1	sp|Q9HCG7|GBA2_HUMAN	 	 	 	 	6.4	927	104648	Non-lysosomal glucosylceramidase OS=Homo sapiens (Human) OX=9606 GN=GBA2 PE=1 SV=2	4	4	1.000	4	4	4.000
8815	1	sp|Q9HCG8|CWC22_HUMAN	 	 	 	 	11.6	908	105465	Pre-mRNA-splicing factor CWC22 homolog OS=Homo sapiens (Human) OX=9606 GN=CWC22 PE=1 SV=3	18	18	1.000	18	18	18.000
8816	1	sp|Q9HCH5|SYTL2_HUMAN	 	 	 	 	15.5	934	104929	Synaptotagmin-like protein 2 OS=Homo sapiens (Human) OX=9606 GN=SYTL2 PE=1 SV=3	31	31	1.000	31	31	31.000
8817	1	sp|Q9HCI6|K1586_HUMAN	 	 	 	 	3.2	787	89672	E3 SUMO-protein ligase KIAA1586 OS=Homo sapiens (Human) OX=9606 GN=KIAA1586 PE=1 SV=2	3	3	1.000	3	3	3.000
8818	1	sp|Q9HCI7|MSL2_HUMAN	 	 	 	 	8.3	577	62540	E3 ubiquitin-protein ligase MSL2 OS=Homo sapiens (Human) OX=9606 GN=MSL2 PE=1 SV=2	3	3	1.000	3	3	3.000
8819	1	sp|Q9HCJ0|TNR6C_HUMAN	 	 	sp|Q8NDV7|TNR6A_HUMAN, sp|Q9HCJ0|TNR6C_HUMAN	 	1.2	1690	175962	Trinucleotide repeat-containing gene 6C protein OS=Homo sapiens (Human) OX=9606 GN=TNRC6C PE=1 SV=3	2	1	0.500	2	1	1.125
8820	1	sp|Q9HCJ6|VAT1L_HUMAN	 	 	 	 	6.9	419	45899	Synaptic vesicle membrane protein VAT-1 homolog-like OS=Homo sapiens (Human) OX=9606 GN=VAT1L PE=1 SV=2	4	4	1.000	4	4	4.000
8821	1	sp|Q9HCK5|AGO4_HUMAN	 	 	sp|Q9H9G7|AGO3_HUMAN, sp|Q9HCK5|AGO4_HUMAN, sp|Q9UKV8|AGO2_HUMAN, sp|Q9UL18|AGO1_HUMAN	 	10.2	861	97096	Protein argonaute-4 OS=Homo sapiens (Human) OX=9606 GN=AGO4 PE=1 SV=2	13	0	0.000	13	0	0.000
8822	1	sp|Q9HCK8|CHD8_HUMAN	 	 	sp|Q3L8U1|CHD9_HUMAN, sp|Q8TD26|CHD6_HUMAN, sp|Q9HCK8|CHD8_HUMAN, sp|Q9P2D1|CHD7_HUMAN	 	16.2	2581	290516	Chromodomain-helicase-DNA-binding protein 8 OS=Homo sapiens (Human) OX=9606 GN=CHD8 PE=1 SV=5	50	38	0.760	50	38	45.353
8823	1	sp|Q9HCM2|PLXA4_HUMAN	 	 	sp|P51805|PLXA3_HUMAN, sp|Q9HCM2|PLXA4_HUMAN, sp|Q9UIW2|PLXA1_HUMAN	 	2.3	1894	212453	Plexin-A4 OS=Homo sapiens (Human) OX=9606 GN=PLXNA4 PE=1 SV=4	3	2	0.667	3	2	2.143
8824	1	sp|Q9HCM4|E41L5_HUMAN	 	 	 	 	23.3	733	81855	Band 4.1-like protein 5 OS=Homo sapiens (Human) OX=9606 GN=EPB41L5 PE=1 SV=3	18	18	1.000	18	18	18.000
8825	1	sp|Q9HCM7|FBSL_HUMAN	 	 	 	 	3.0	1045	110905	Fibrosin-1-like protein OS=Homo sapiens (Human) OX=9606 GN=FBRSL1 PE=1 SV=4	2	2	1.000	2	2	2.000
8826	1	sp|Q9HCN3|TMM8A_HUMAN	 	 	 	 	4.7	771	84760	Post-GPI attachment to proteins factor 6 OS=Homo sapiens (Human) OX=9606 GN=TMEM8A PE=1 SV=3	3	3	1.000	3	3	3.000
8827	1	sp|Q9HCN4|GPN1_HUMAN	 	 	 	 	8.0	374	41740	GPN-loop GTPase 1 OS=Homo sapiens (Human) OX=9606 GN=GPN1 PE=1 SV=1	5	5	1.000	5	5	5.000
8828	1	sp|Q9HCN8|SDF2L_HUMAN	 	 	 	 	32.6	221	23598	Stromal cell-derived factor 2-like protein 1 OS=Homo sapiens (Human) OX=9606 GN=SDF2L1 PE=1 SV=2	11	11	1.000	11	11	11.000
8829	1	sp|Q9HCP0|KC1G1_HUMAN	 	 	sp|P78368|KC1G2_HUMAN, sp|Q9HCP0|KC1G1_HUMAN, sp|Q9Y6M4|KC1G3_HUMAN	 	15.9	422	48511	Casein kinase I isoform gamma-1 OS=Homo sapiens (Human) OX=9606 GN=CSNK1G1 PE=1 SV=1	11	7	0.636	11	7	9.800
8830	1	sp|Q9HCS7|SYF1_HUMAN	 	 	 	 	24.6	855	100009	Pre-mRNA-splicing factor SYF1 OS=Homo sapiens (Human) OX=9606 GN=XAB2 PE=1 SV=2	38	38	1.000	38	38	38.000
8831	1	sp|Q9HCU4|CELR2_HUMAN	 	 	 	 	7.7	2923	317449	Cadherin EGF LAG seven-pass G-type receptor 2 OS=Homo sapiens (Human) OX=9606 GN=CELSR2 PE=1 SV=1	19	19	1.000	19	19	19.000
8832	1	sp|Q9HCU5|PREB_HUMAN	 	 	 	 	37.4	417	45468	Prolactin regulatory element-binding protein OS=Homo sapiens (Human) OX=9606 GN=PREB PE=1 SV=2	19	19	1.000	19	19	19.000
8833	1	sp|Q9HCU8|DPOD4_HUMAN	 	 	 	 	32.7	107	12433	DNA polymerase delta subunit 4 OS=Homo sapiens (Human) OX=9606 GN=POLD4 PE=1 SV=1	4	4	1.000	4	4	4.000
8834	1	sp|Q9HCU9|BRMS1_HUMAN	 	 	 	 	9.3	246	28460	Breast cancer metastasis-suppressor 1 OS=Homo sapiens (Human) OX=9606 GN=BRMS1 PE=1 SV=1	3	3	1.000	3	3	3.000
8835	1	sp|Q9HCY8|S10AE_HUMAN	 	 	 	 	42.3	104	11662	Protein S100-A14 OS=Homo sapiens (Human) OX=9606 GN=S100A14 PE=1 SV=1	6	6	1.000	6	6	6.000
8836	1	sp|Q9HD15|SRA1_HUMAN	 	 	 	 	18.6	236	25673	Steroid receptor RNA activator 1 OS=Homo sapiens (Human) OX=9606 GN=SRA1 PE=1 SV=1	8	8	1.000	8	8	8.000
8837	1	sp|Q9HD20|AT131_HUMAN	 	 	 	 	17.8	1204	132953	Manganese-transporting ATPase 13A1 OS=Homo sapiens (Human) OX=9606 GN=ATP13A1 PE=1 SV=2	63	63	1.000	63	63	63.000
8838	1	sp|Q9HD23|MRS2_HUMAN	 	 	 	 	18.7	443	50317	Magnesium transporter MRS2 homolog, mitochondrial OS=Homo sapiens (Human) OX=9606 GN=MRS2 PE=1 SV=1	7	7	1.000	7	7	7.000
8839	1	sp|Q9HD26|GOPC_HUMAN	 	 	 	 	35.1	462	50519	Golgi-associated PDZ and coiled-coil motif-containing protein OS=Homo sapiens (Human) OX=9606 GN=GOPC PE=1 SV=1	26	26	1.000	26	26	26.000
8840	1	sp|Q9HD33|RM47_HUMAN	 	 	 	 	26.0	250	29450	39S ribosomal protein L47, mitochondrial OS=Homo sapiens (Human) OX=9606 GN=MRPL47 PE=1 SV=2	18	18	1.000	18	18	18.000
8841	1	sp|Q9HD34|LYRM4_HUMAN	 	 	 	 	45.1	91	10758	LYR motif-containing protein 4 OS=Homo sapiens (Human) OX=9606 GN=LYRM4 PE=1 SV=1	8	8	1.000	8	8	8.000
8842	1	sp|Q9HD40|SPCS_HUMAN	 	 	 	 	7.8	501	55726	O-phosphoseryl-tRNA(Sec) selenium transferase OS=Homo sapiens (Human) OX=9606 GN=SEPSECS PE=1 SV=2	6	6	1.000	6	6	6.000
8843	1	sp|Q9HD42|CHM1A_HUMAN	 	 	 	 	24.5	196	21703	Charged multivesicular body protein 1a OS=Homo sapiens (Human) OX=9606 GN=CHMP1A PE=1 SV=1	27	27	1.000	27	27	27.000
8844	1	sp|Q9HD45|TM9S3_HUMAN	 	 	 	 	18.7	589	67888	Transmembrane 9 superfamily member 3 OS=Homo sapiens (Human) OX=9606 GN=TM9SF3 PE=1 SV=2	27	27	1.000	27	27	27.000
8845	1	sp|Q9HDC9|APMAP_HUMAN	 	 	 	 	51.4	416	46480	Adipocyte plasma membrane-associated protein OS=Homo sapiens (Human) OX=9606 GN=APMAP PE=1 SV=2	121	121	1.000	121	121	121.000
8846	1	sp|Q9NNW5|WDR6_HUMAN	 	 	 	 	11.0	1121	121723	WD repeat-containing protein 6 OS=Homo sapiens (Human) OX=9606 GN=WDR6 PE=1 SV=1	11	11	1.000	11	11	11.000
8847	1	sp|Q9NNW7|TRXR2_HUMAN	 	 	 	 	19.1	524	56506	Thioredoxin reductase 2, mitochondrial OS=Homo sapiens (Human) OX=9606 GN=TXNRD2 PE=1 SV=3	18	18	1.000	18	18	18.000
8848	1	sp|Q9NNX1|TUFT1_HUMAN	 	 	 	 	26.7	390	44263	Tuftelin OS=Homo sapiens (Human) OX=9606 GN=TUFT1 PE=1 SV=1	22	22	1.000	22	22	22.000
8849	1	sp|Q9NP50|SHCAF_HUMAN	 	 	 	 	13.1	221	24852	SIN3-HDAC complex-associated factor OS=Homo sapiens (Human) OX=9606 GN=SINHCAF PE=1 SV=1	3	3	1.000	3	3	3.000
8850	1	sp|Q9NP58|ABCB6_HUMAN	 	 	 	 	13.1	842	93884	ATP-binding cassette sub-family B member 6, mitochondrial OS=Homo sapiens (Human) OX=9606 GN=ABCB6 PE=1 SV=1	11	11	1.000	11	11	11.000
8851	1	sp|Q9NP61|ARFG3_HUMAN	 	 	 	 	10.7	516	56928	ADP-ribosylation factor GTPase-activating protein 3 OS=Homo sapiens (Human) OX=9606 GN=ARFGAP3 PE=1 SV=1	9	9	1.000	9	9	9.000
8852	1	sp|Q9NP64|NO40_HUMAN	 	 	 	 	21.6	241	27569	Nucleolar protein of 40 kDa OS=Homo sapiens (Human) OX=9606 GN=ZCCHC17 PE=1 SV=1	5	5	1.000	5	5	5.000
8853	1	sp|Q9NP66|HM20A_HUMAN	 	 	 	 	33.4	347	40143	High mobility group protein 20A OS=Homo sapiens (Human) OX=9606 GN=HMG20A PE=1 SV=1	19	19	1.000	19	19	19.000
8854	1	sp|Q9NP72|RAB18_HUMAN	 	 	 	 	51.5	206	22977	Ras-related protein Rab-18 OS=Homo sapiens (Human) OX=9606 GN=RAB18 PE=1 SV=1	43	43	1.000	43	43	43.000
8855	1	sp|Q9NP73|ALG13_HUMAN	 	 	 	 	4.3	1137	126055	Putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13 OS=Homo sapiens (Human) OX=9606 GN=ALG13 PE=1 SV=2	4	4	1.000	4	4	4.000
8856	1	sp|Q9NP77|SSU72_HUMAN	 	 	 	 	26.3	194	22574	RNA polymerase II subunit A C-terminal domain phosphatase SSU72 OS=Homo sapiens (Human) OX=9606 GN=SSU72 PE=1 SV=1	9	9	1.000	9	9	9.000
8857	1	sp|Q9NP79|VTA1_HUMAN	 	 	 	 	32.6	307	33879	Vacuolar protein sorting-associated protein VTA1 homolog OS=Homo sapiens (Human) OX=9606 GN=VTA1 PE=1 SV=1	32	32	1.000	32	32	32.000
8858	1	sp|Q9NP80|PLPL8_HUMAN	 	 	 	 	11.4	782	88476	Calcium-independent phospholipase A2-gamma OS=Homo sapiens (Human) OX=9606 GN=PNPLA8 PE=1 SV=1	9	9	1.000	9	9	9.000
8859	1	sp|Q9NP81|SYSM_HUMAN	 	 	 	 	48.6	518	58282	Serine--tRNA ligase, mitochondrial OS=Homo sapiens (Human) OX=9606 GN=SARS2 PE=1 SV=1	41	41	1.000	41	41	41.000
8860	1	sp|Q9NP87|DPOLM_HUMAN	 	 	 	 	5.3	494	54815	DNA-directed DNA/RNA polymerase mu OS=Homo sapiens (Human) OX=9606 GN=POLM PE=1 SV=1	3	3	1.000	3	3	3.000
8862	1	sp|Q9NP92|RT30_HUMAN	 	 	 	 	26.7	439	50364	39S ribosomal protein S30, mitochondrial OS=Homo sapiens (Human) OX=9606 GN=MRPS30 PE=1 SV=2	22	22	1.000	22	22	22.000
8863	1	sp|Q9NP97|DLRB1_HUMAN	 	 	 	 	61.5	96	10921	Dynein light chain roadblock-type 1 OS=Homo sapiens (Human) OX=9606 GN=DYNLRB1 PE=1 SV=3	16	16	1.000	16	16	16.000
8864	1	sp|Q9NPA0|EMC7_HUMAN	 	 	 	 	38.4	242	26470	ER membrane protein complex subunit 7 OS=Homo sapiens (Human) OX=9606 GN=EMC7 PE=1 SV=1	17	17	1.000	17	17	17.000
8865	1	sp|Q9NPA3|M1IP1_HUMAN	 	 	 	 	10.9	183	20201	Mid1-interacting protein 1 OS=Homo sapiens (Human) OX=9606 GN=MID1IP1 PE=1 SV=1	6	6	1.000	6	6	6.000
8866	1	sp|Q9NPA8|ENY2_HUMAN	 	 	 	 	54.5	101	11528	Transcription and mRNA export factor ENY2 OS=Homo sapiens (Human) OX=9606 GN=ENY2 PE=1 SV=1	16	16	1.000	16	16	16.000
8867	1	sp|Q9NPB8|GPCP1_HUMAN	 	 	 	 	2.8	672	76034	Glycerophosphocholine phosphodiesterase GPCPD1 OS=Homo sapiens (Human) OX=9606 GN=GPCPD1 PE=1 SV=2	2	2	1.000	2	2	2.000
8868	1	sp|Q9NPD3|EXOS4_HUMAN	 	 	 	 	35.9	245	26383	Exosome complex component RRP41 OS=Homo sapiens (Human) OX=9606 GN=EXOSC4 PE=1 SV=3	14	14	1.000	14	14	14.000
8869	1	sp|Q9NPD8|UBE2T_HUMAN	 	 	 	 	54.3	197	22521	Ubiquitin-conjugating enzyme E2 T OS=Homo sapiens (Human) OX=9606 GN=UBE2T PE=1 SV=1	17	17	1.000	17	17	17.000
8870	1	sp|Q9NPE3|NOP10_HUMAN	 	 	 	 	59.4	64	7706	H/ACA ribonucleoprotein complex subunit 3 OS=Homo sapiens (Human) OX=9606 GN=NOP10 PE=1 SV=1	5	5	1.000	5	5	5.000
8871	1	sp|Q9NPF4|OSGEP_HUMAN	 	 	 	 	22.7	335	36426	Probable tRNA N6-adenosine threonylcarbamoyltransferase OS=Homo sapiens (Human) OX=9606 GN=OSGEP PE=1 SV=1	14	14	1.000	14	14	14.000
8872	1	sp|Q9NPF5|DMAP1_HUMAN	 	 	 	 	38.8	467	52992	DNA methyltransferase 1-associated protein 1 OS=Homo sapiens (Human) OX=9606 GN=DMAP1 PE=1 SV=1	23	23	1.000	23	23	23.000
8873	1	sp|Q9NPG3|UBN1_HUMAN	 	 	 	 	5.0	1134	121519	Ubinuclein-1 OS=Homo sapiens (Human) OX=9606 GN=UBN1 PE=1 SV=2	6	6	1.000	6	6	6.000
8874	1	sp|Q9NPH0|PPA6_HUMAN	 	 	 	 	15.7	428	48886	Lysophosphatidic acid phosphatase type 6 OS=Homo sapiens (Human) OX=9606 GN=ACP6 PE=1 SV=3	7	7	1.000	7	7	7.000
8875	1	sp|Q9NPH2|INO1_HUMAN	 	 	 	 	19.7	558	61067	Inositol-3-phosphate synthase 1 OS=Homo sapiens (Human) OX=9606 GN=ISYNA1 PE=1 SV=1	14	14	1.000	14	14	14.000
8876	1	sp|Q9NPI1|BRD7_HUMAN	 	 	 	 	20.6	651	74138	Bromodomain-containing protein 7 OS=Homo sapiens (Human) OX=9606 GN=BRD7 PE=1 SV=1	11	11	1.000	11	11	11.000
8877	1	sp|Q9NPI6|DCP1A_HUMAN	 	 	 	 	19.4	582	63278	mRNA-decapping enzyme 1A OS=Homo sapiens (Human) OX=9606 GN=DCP1A PE=1 SV=3	15	15	1.000	15	15	15.000
8878	1	sp|Q9NPJ3|ACO13_HUMAN	 	 	 	 	37.9	140	14960	Acyl-coenzyme A thioesterase 13 OS=Homo sapiens (Human) OX=9606 GN=ACOT13 PE=1 SV=1	11	11	1.000	11	11	11.000
8879	1	sp|Q9NPJ6|MED4_HUMAN	 	 	 	 	30.4	270	29745	Mediator of RNA polymerase II transcription subunit 4 OS=Homo sapiens (Human) OX=9606 GN=MED4 PE=1 SV=1	11	11	1.000	11	11	11.000
8880	1	sp|Q9NPL8|TIDC1_HUMAN	 	 	 	 	31.6	285	32177	Complex I assembly factor TIMMDC1, mitochondrial OS=Homo sapiens (Human) OX=9606 GN=TIMMDC1 PE=1 SV=2	12	12	1.000	12	12	12.000
8881	1	sp|Q9NPQ8|RIC8A_HUMAN	 	 	sp|Q9NPQ8|RIC8A_HUMAN, sp|Q9NVN3|RIC8B_HUMAN	 	24.5	531	59709	Synembryn-A OS=Homo sapiens (Human) OX=9606 GN=RIC8A PE=1 SV=3	18	16	0.889	18	16	17.778
8882	1	sp|Q9NPR9|GP108_HUMAN	 	 	 	 	6.4	543	60632	Protein GPR108 OS=Homo sapiens (Human) OX=9606 GN=GPR108 PE=2 SV=3	4	4	1.000	4	4	4.000
8883	1	sp|Q9NQ29|LUC7L_HUMAN	 	 	sp|Q9NQ29|LUC7L_HUMAN, sp|Q9Y383|LC7L2_HUMAN	 	34.0	371	43728	Putative RNA-binding protein Luc7-like 1 OS=Homo sapiens (Human) OX=9606 GN=LUC7L PE=1 SV=1	61	14	0.230	61	14	23.268
8884	1	sp|Q9NQ31|AKIP1_HUMAN	 	 	 	 	11.0	210	23114	A-kinase-interacting protein 1 OS=Homo sapiens (Human) OX=9606 GN=AKIP1 PE=1 SV=2	2	2	1.000	2	2	2.000
8885	1	sp|Q9NQ36|SCUB2_HUMAN	 	 	 	 	4.2	999	109956	Signal peptide, CUB and EGF-like domain-containing protein 2 OS=Homo sapiens (Human) OX=9606 GN=SCUBE2 PE=1 SV=3	5	5	1.000	5	5	5.000
8886	1	sp|Q9NQ48|LZTL1_HUMAN	 	 	 	 	22.4	299	34592	Leucine zipper transcription factor-like protein 1 OS=Homo sapiens (Human) OX=9606 GN=LZTFL1 PE=1 SV=1	9	9	1.000	9	9	9.000
8887	1	sp|Q9NQ50|RM40_HUMAN	 	 	 	 	45.1	206	24490	39S ribosomal protein L40, mitochondrial OS=Homo sapiens (Human) OX=9606 GN=MRPL40 PE=1 SV=1	21	21	1.000	21	21	21.000
8888	1	sp|Q9NQ55|SSF1_HUMAN	 	 	 	 	17.5	473	53193	Suppressor of SWI4 1 homolog OS=Homo sapiens (Human) OX=9606 GN=PPAN PE=2 SV=1	14	14	1.000	14	14	14.000
8889	1	sp|Q9NQ66|PLCB1_HUMAN	 	 	 	 	5.7	1216	138565	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1 OS=Homo sapiens (Human) OX=9606 GN=PLCB1 PE=1 SV=1	12	12	1.000	12	12	12.000
8890	1	sp|Q9NQ84|GPC5C_HUMAN	 	 	 	 	5.4	441	48193	G-protein coupled receptor family C group 5 member C OS=Homo sapiens (Human) OX=9606 GN=GPRC5C PE=1 SV=2	4	4	1.000	4	4	4.000
8891	1	sp|Q9NQ88|TIGAR_HUMAN	 	 	 	 	20.4	270	30062	Fructose-2,6-bisphosphatase TIGAR OS=Homo sapiens (Human) OX=9606 GN=TIGAR PE=1 SV=1	6	6	1.000	6	6	6.000
8892	1	sp|Q9NQ89|CL004_HUMAN	 	 	 	 	4.0	552	63800	Protein C12orf4 OS=Homo sapiens (Human) OX=9606 GN=C12orf4 PE=1 SV=1	3	3	1.000	3	3	3.000
8893	1	sp|Q9NQC1|JADE2_HUMAN	 	 	sp|Q6IE81|JADE1_HUMAN, sp|Q9NQC1|JADE2_HUMAN	 	6.6	790	87465	E3 ubiquitin-protein ligase Jade-2 OS=Homo sapiens (Human) OX=9606 GN=JADE2 PE=1 SV=2	9	8	0.889	9	8	8.800
8894	1	sp|Q9NQC3|RTN4_HUMAN	 	 	 	 	10.0	1192	129930	Reticulon-4 OS=Homo sapiens (Human) OX=9606 GN=RTN4 PE=1 SV=2	29	29	1.000	29	29	29.000
8895	1	sp|Q9NQC8|IFT46_HUMAN	 	 	 	 	15.1	304	34285	Intraflagellar transport protein 46 homolog OS=Homo sapiens (Human) OX=9606 GN=IFT46 PE=1 SV=1	5	5	1.000	5	5	5.000
8896	1	sp|Q9NQE9|HINT3_HUMAN	 	 	 	 	21.4	182	20361	Histidine triad nucleotide-binding protein 3 OS=Homo sapiens (Human) OX=9606 GN=HINT3 PE=1 SV=1	11	11	1.000	11	11	11.000
8897	1	sp|Q9NQG5|RPR1B_HUMAN	 	 	sp|Q96P16|RPR1A_HUMAN, sp|Q9NQG5|RPR1B_HUMAN	 	34.0	326	36899	Regulation of nuclear pre-mRNA domain-containing protein 1B OS=Homo sapiens (Human) OX=9606 GN=RPRD1B PE=1 SV=1	23	18	0.783	23	18	20.250
8898	1	sp|Q9NQH7|XPP3_HUMAN	 	 	 	 	22.3	507	57033	Xaa-Pro aminopeptidase 3 OS=Homo sapiens (Human) OX=9606 GN=XPNPEP3 PE=1 SV=1	9	9	1.000	9	9	9.000
8900	1	sp|Q9NQP4|PFD4_HUMAN	 	 	 	 	29.9	134	15314	Prefoldin subunit 4 OS=Homo sapiens (Human) OX=9606 GN=PFDN4 PE=1 SV=1	11	11	1.000	11	11	11.000
8901	1	sp|Q9NQR4|NIT2_HUMAN	 	 	 	 	58.0	276	30608	Omega-amidase NIT2 OS=Homo sapiens (Human) OX=9606 GN=NIT2 PE=1 SV=1	41	41	1.000	41	41	41.000
8902	1	sp|Q9NQS1|AVEN_HUMAN	 	 	 	 	15.2	362	38506	Cell death regulator Aven OS=Homo sapiens (Human) OX=9606 GN=AVEN PE=1 SV=1	6	6	1.000	6	6	6.000
8903	1	sp|Q9NQS7|INCE_HUMAN	 	 	 	 	16.4	918	105428	Inner centromere protein OS=Homo sapiens (Human) OX=9606 GN=INCENP PE=1 SV=3	26	26	1.000	26	26	26.000
