New PAW TMT results file!
Program "PAW_protein_grouper.py" run on Fri May  8 06:42:05 2020
 
 
ProtGroup	Counter	Accession	Identical	Similar	OtherLoci	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_GMHJYZ_human_ecoli	Unique_GMHJYZ_human_ecoli	Corrected_GMHJYZ_human_ecoli	PSMs_Used_GMHJYZ_human_ecoli	TotInt_126C_GMHJYZ_human_ecoli	TotInt_127N_GMHJYZ_human_ecoli	TotInt_127C_GMHJYZ_human_ecoli	TotInt_128N_GMHJYZ_human_ecoli	TotInt_128C_GMHJYZ_human_ecoli	TotInt_129N_GMHJYZ_human_ecoli	TotInt_129C_GMHJYZ_human_ecoli	TotInt_130N_GMHJYZ_human_ecoli	TotInt_130C_GMHJYZ_human_ecoli	TotInt_131N_GMHJYZ_human_ecoli	TotInt_131C_GMHJYZ_human_ecoli
7565	1	sp|Q969X0|RIPL2_HUMAN	 	 	sp|Q5EBL4|RIPL1_HUMAN, sp|Q969X0|RIPL2_HUMAN	 	16.1	211	23986	RILP-like protein 2 OS=Homo sapiens (Human) OX=9606 GN=RILPL2 PE=1 SV=1	3	2	0.667	3	2	2.200	2	620524.613281	515898.09570299997	493784.292969	719548.183594	509052.65429700003	609956.763672	501130.398438	427609.974609	449666.087891	406868.853516	500.0
7566	1	sp|Q969X5|ERGI1_HUMAN	 	 	 	 	30.0	290	32592	Endoplasmic reticulum-Golgi intermediate compartment protein 1 OS=Homo sapiens (Human) OX=9606 GN=ERGIC1 PE=1 SV=1	35	35	1.000	35	35	35.000	35	8662544.173339	8114880.927732999	9452606.687743	9480818.589844	9235602.808592001	12255314.922364	9762249.511231	6981412.275146001	9415577.89502	7865124.112790999	295669.866944
7567	1	sp|Q969X6|UTP4_HUMAN	 	 	 	 	29.4	686	76889	U3 small nucleolar RNA-associated protein 4 homolog OS=Homo sapiens (Human) OX=9606 GN=UTP4 PE=1 SV=1	34	34	1.000	34	34	34.000	34	5204053.961184001	4917848.328613	4974715.304686	5130346.095216	5671883.060547001	5755863.518557	4873433.070312001	4123980.190921	4819813.932130001	4296606.416508	33398.998900000006
7568	1	sp|Q969Y2|GTPB3_HUMAN	 	 	 	 	9.1	492	52058	tRNA modification GTPase GTPBP3, mitochondrial OS=Homo sapiens (Human) OX=9606 GN=GTPBP3 PE=1 SV=2	3	3	1.000	3	3	3.000	3	412832.402344	342488.65625	383194.783204	468691.816406	493467.75	484056.785156	458260.765625	485053.960938	530028.361329	425446.34570299997	1076.902466
7569	1	sp|Q969Z0|FAKD4_HUMAN	 	 	 	 	37.1	631	70737	FAST kinase domain-containing protein 4 OS=Homo sapiens (Human) OX=9606 GN=TBRG4 PE=1 SV=1	44	44	1.000	44	44	44.000	44	15418308.001101997	14738145.778076997	15117403.079588002	17159508.412109997	17588175.818847	18440089.461180996	15738818.444338	13510756.153564999	13497811.851563001	13094570.403566001	263634.57135
7570	1	sp|Q96A19|C102A_HUMAN	 	 	 	 	7.1	550	62595	Coiled-coil domain-containing protein 102A OS=Homo sapiens (Human) OX=9606 GN=CCDC102A PE=1 SV=2	3	3	1.000	3	3	3.000	3	56263.816406	50791.368165	72666.904297	51285.729492	53425.785156	57150.639648	47959.5	44815.473633	47494.402343	55352.336914	1391.436035
7571	1	sp|Q96A26|F162A_HUMAN	 	 	 	 	30.5	154	17342	Protein FAM162A OS=Homo sapiens (Human) OX=9606 GN=FAM162A PE=1 SV=2	10	10	1.000	10	10	10.000	10	12454258.019531	10601028.785156	12048537.351563	13192536.371094998	12908479.996094	14295754.476563998	11665558.789063	10402159.445313	11273218.531249002	10355557.253906	309819.918946
7572	1	sp|Q96A29|FUCT1_HUMAN	 	 	 	 	5.5	364	39808	GDP-fucose transporter 1 OS=Homo sapiens (Human) OX=9606 GN=SLC35C1 PE=1 SV=1	2	2	1.000	2	2	2.000	2	209068.980469	181254.4375	164568.945312	209654.449219	193463.988281	240312.492188	196547.09375	145273.476563	187294.28125	158315.878906	500.0
7573	1	sp|Q96A33|CCD47_HUMAN	 	 	 	 	43.5	483	55873	Coiled-coil domain-containing protein 47 OS=Homo sapiens (Human) OX=9606 GN=CCDC47 PE=1 SV=1	75	75	1.000	75	75	75.000	75	23420025.880372	22010266.608398005	22719560.990722995	25839120.132815998	24716248.964355	26350468.341796	22459202.170902997	21035575.370605998	23337740.552248996	22297888.196778	383613.225588
7574	1	sp|Q96A35|RM24_HUMAN	 	 	 	 	63.0	216	24915	39S ribosomal protein L24, mitochondrial OS=Homo sapiens (Human) OX=9606 GN=MRPL24 PE=1 SV=1	38	38	1.000	38	38	38.000	38	9331379.932616	8644467.433596998	8690104.6875	9985370.97168	10088569.194338001	10607573.503907	8946081.94043	8572954.870118998	9988956.472659	9005541.537108002	411213.366699
7575	1	sp|Q96A49|SYAP1_HUMAN	 	 	 	 	46.9	352	39933	Synapse-associated protein 1 OS=Homo sapiens (Human) OX=9606 GN=SYAP1 PE=1 SV=1	26	26	1.000	26	26	26.000	26	7928990.513673	6870661.125977	8079791.407226	9310027.666016	8735985.749025002	8707682.371094	7952926.906249	6951397.951173	6811939.110351999	7096678.585937	266175.377076
7576	1	sp|Q96A57|TM230_HUMAN	 	 	 	 	17.5	120	13188	Transmembrane protein 230 OS=Homo sapiens (Human) OX=9606 GN=TMEM230 PE=1 SV=1	3	3	1.000	3	3	3.000	3	722186.6835940001	616010.554687	638916.007813	642667.8164059999	660802.9335940001	618639.84375	660533.8398440001	500235.792969	595483.5664059999	531458.7617190001	22895.158203
7577	1	sp|Q96A65|EXOC4_HUMAN	 	 	 	 	33.9	974	110497	Exocyst complex component 4 OS=Homo sapiens (Human) OX=9606 GN=EXOC4 PE=1 SV=1	58	58	1.000	58	58	58.000	58	6667315.116702001	5829279.600102	6447872.583253	6626113.665288001	6572599.892581	7051404.140629	5793720.420903001	4604605.483642001	5228384.9572749995	4856040.115476001	71613.489258
7578	1	sp|Q96AA3|RFT1_HUMAN	 	 	 	 	6.5	541	60335	Protein RFT1 homolog OS=Homo sapiens (Human) OX=9606 GN=RFT1 PE=1 SV=1	8	8	1.000	8	8	8.000	8	563206.5581039999	458744.9279789999	547247.144043	629705.676757	527058.052735	545615.3710929999	464519.73461900005	436468.31249999994	465164.417969	416490.17480400007	16045.755249
7579	1	sp|Q96AB3|ISOC2_HUMAN	 	 	 	 	57.1	205	22337	Isochorismatase domain-containing protein 2 OS=Homo sapiens (Human) OX=9606 GN=ISOC2 PE=1 SV=1	10	10	1.000	10	10	10.000	10	369439.879516	367267.061645	406180.682863	429586.98828199995	458216.86328099994	467715.51049799996	465806.42993200006	366944.09936399997	420682.98901300004	403763.92480499996	1964.198914
7580	1	sp|Q96AB6|NTAN1_HUMAN	 	 	 	 	18.7	310	34677	Protein N-terminal asparagine amidohydrolase OS=Homo sapiens (Human) OX=9606 GN=NTAN1 PE=1 SV=3	5	5	1.000	5	5	5.000	5	281563.828614	213771.177734	274944.483399	293269.192383	290807.10400399996	275684.891602	259115.706543	207063.97534099998	264855.116211	233818.892578	4334.65918
7581	1	sp|Q96AC1|FERM2_HUMAN	 	 	sp|Q96AC1|FERM2_HUMAN, sp|Q9BQL6|FERM1_HUMAN	 	44.7	680	77860	Fermitin family homolog 2 OS=Homo sapiens (Human) OX=9606 GN=FERMT2 PE=1 SV=1	56	48	0.857	56	48	55.529	48	12276112.668947998	11814040.685549999	12549652.441406999	13794933.884766001	14000687.191408997	14767059.322268995	12753562.400393	10224158.173827004	11506066.511718996	10628004.644534	249414.84582399996
7582	1	sp|Q96AD5|PLPL2_HUMAN	 	 	 	 	12.1	504	55315	Patatin-like phospholipase domain-containing protein 2 OS=Homo sapiens (Human) OX=9606 GN=PNPLA2 PE=1 SV=1	9	9	1.000	9	9	9.000	9	219794.76025499997	235583.921386	231369.43603599997	260572.37157999998	255010.03735399997	294215.77441400004	262471.970216	244687.78173699998	250853.430663	261351.10766700003	12596.706299
7583	1	sp|Q96AE4|FUBP1_HUMAN	 	 	sp|P15042|DNLJ_ECOLI, sp|Q92945|FUBP2_HUMAN, sp|Q96AE4|FUBP1_HUMAN, sp|Q96I24|FUBP3_HUMAN	 	54.5	644	67560	Far upstream element-binding protein 1 OS=Homo sapiens (Human) OX=9606 GN=FUBP1 PE=1 SV=3	133	109	0.820	133	109	123.057	109	63453743.94580598	56614587.48168799	60855896.222416	64964489.218753	64585185.19433902	68731160.454347	58589399.33960601	47089303.23290999	53901687.78052299	48486793.38696898	1061444.0445569998
7584	1	sp|Q96AE7|TTC17_HUMAN	 	 	sp|Q96AE7|TTC17_HUMAN, sp|Q9GZU8|PIP30_HUMAN	 	6.9	1141	129557	Tetratricopeptide repeat protein 17 OS=Homo sapiens (Human) OX=9606 GN=TTC17 PE=1 SV=1	6	5	0.833	6	5	5.357	5	85434.85571300001	82424.688966	84934.019531	89509.999756	97795.477539	85916.740235	87592.280517	69316.56738200001	81610.21386799999	75102.028076	1945.371948
7585	1	sp|Q96AG3|S2546_HUMAN	 	 	 	 	7.2	418	46173	Solute carrier family 25 member 46 OS=Homo sapiens (Human) OX=9606 GN=SLC25A46 PE=1 SV=1	7	7	1.000	7	7	7.000	7	1541619.057617	1409434.7250970001	1304427.1328119999	1526508.137695	1574933.500001	1635130.00586	1478356.109618	1356573.655517	1443516.626464	1460752.486817	32416.693358999997
7586	1	sp|Q96AG4|LRC59_HUMAN	 	 	 	 	37.1	307	34930	Leucine-rich repeat-containing protein 59 OS=Homo sapiens (Human) OX=9606 GN=LRRC59 PE=1 SV=1	99	99	1.000	99	99	99.000	99	21857369.447877992	20604819.966066994	21721963.273437	22731941.648927	23346446.235595986	23914015.648437	20968705.654299	17086320.348754995	18150357.785887007	16622562.575440003	448771.9647820001
7587	1	sp|Q96AJ1|CLUA1_HUMAN	 	 	 	 	13.3	413	48125	Clusterin-associated protein 1 OS=Homo sapiens (Human) OX=9606 GN=CLUAP1 PE=1 SV=4	5	5	1.000	5	5	5.000	5	573181.663085	569438.431153	628562.551759	571084.709473	604405.0205069999	607972.2685550001	578196.5712900001	432307.453126	475145.13964899996	471190.401855	12045.760254
7588	1	sp|Q96AJ9|VTI1A_HUMAN	 	 	 	 	23.0	217	25217	Vesicle transport through interaction with t-SNAREs homolog 1A OS=Homo sapiens (Human) OX=9606 GN=VTI1A PE=1 SV=2	7	7	1.000	7	7	7.000	7	894339.00293	887646.982422	834466.585938	907354.847167	854171.515137	997479.030762	820614.65039	581757.041504	602950.088868	660026.789062	8130.501464999999
7589	1	sp|Q96AN5|TM143_HUMAN	 	 	 	 	5.2	459	51714	Transmembrane protein 143 OS=Homo sapiens (Human) OX=9606 GN=TMEM143 PE=2 SV=1	2	2	1.000	2	2	2.000	2	34674.509766	31066.100586	38874.47461	38765.984863	32297.410644999996	39670.255371	38128.078613	30226.150879	32777.681640999996	30726.528809	500.0
7590	1	sp|Q96AP0|ACD_HUMAN	 	 	 	 	11.1	458	48967	Adrenocortical dysplasia protein homolog OS=Homo sapiens (Human) OX=9606 GN=ACD PE=1 SV=4	6	6	1.000	6	6	6.000	6	618002.9960950001	585470.740235	568795.09961	671301.531251	670240.414063	728643.335937	617552.56836	571419.376954	667549.59375	615313.000001	32831.421509
7591	1	sp|Q96AQ6|PBIP1_HUMAN	 	 	 	 	21.2	731	80642	Pre-B-cell leukemia transcription factor-interacting protein 1 OS=Homo sapiens (Human) OX=9606 GN=PBXIP1 PE=1 SV=1	23	23	1.000	23	23	23.000	23	10186288.260742	8145991.729492	9802297.237304	16636465.790038	14304726.624023	17225967.760741998	13810785.303710999	23918019.78125	25165966.59961	24922468.414063	1357943.49707
7592	1	sp|Q96AQ8|MCUR1_HUMAN	 	 	 	 	20.3	359	39694	Mitochondrial calcium uniporter regulator 1 OS=Homo sapiens (Human) OX=9606 GN=MCUR1 PE=1 SV=1	10	10	1.000	10	10	10.000	10	1039800.96631	944295.628174	998065.184082	1017069.763673	1032034.0424820001	1122801.0595709998	994370.697755	775420.2763660001	875149.3137200001	849785.2084969999	32406.482666000004
7593	1	sp|Q96AT1|K1143_HUMAN	 	 	 	 	19.5	154	17465	Uncharacterized protein KIAA1143 OS=Homo sapiens (Human) OX=9606 GN=KIAA1143 PE=1 SV=2	2	2	1.000	2	2	2.000	2	37212.469725999996	29489.789063	30870.163086	38259.160157000006	38101.664063000004	37235.693359	28554.085937	27380.379883	30571.498535	28071.153319999998	500.0
7594	1	sp|Q96AT9|RPE_HUMAN	 	 	 	 	21.1	228	24927	Ribulose-phosphate 3-epimerase OS=Homo sapiens (Human) OX=9606 GN=RPE PE=1 SV=1	9	9	1.000	9	9	9.000	9	2305266.68164	2205676.128906	2290097.117188	2894846.242188	2758090.566407	3150241.833985	2302052.6093739998	3004518.65625	3325697.498046	3248394.871094	116650.041016
7595	1	sp|Q96AX1|VP33A_HUMAN	 	 	 	 	20.0	596	67610	Vacuolar protein sorting-associated protein 33A OS=Homo sapiens (Human) OX=9606 GN=VPS33A PE=1 SV=1	21	21	1.000	21	21	21.000	21	2584805.651246	2607467.828736	2519108.976318	2915930.653807	2954015.367797	3101250.5603030003	2718283.0307610002	2381171.5532230004	2353898.0544429994	2319504.465088	49151.846069
7597	1	sp|Q96AY3|FKB10_HUMAN	 	 	sp|O95302|FKBP9_HUMAN, sp|Q96AY3|FKB10_HUMAN	 	4.5	582	64244	Peptidyl-prolyl cis-trans isomerase FKBP10 OS=Homo sapiens (Human) OX=9606 GN=FKBP10 PE=1 SV=1	7	3	0.429	7	3	3.353	3	55326.313477	50123.959961	48329.326904	51023.365723999996	48245.610352	63931.739258	45756.620606	38542.785643999996	45822.902344	44391.756836	1642.607056
7598	1	sp|Q96AZ6|ISG20_HUMAN	 	 	 	 	35.4	181	20363	Interferon-stimulated gene 20 kDa protein OS=Homo sapiens (Human) OX=9606 GN=ISG20 PE=1 SV=2	13	13	1.000	13	13	13.000	13	1069872.791995	904393.371092	860851.85425	2469522.351076	859804.375001	1073586.191652	797297.6059590001	817588.60547	751071.565675	672767.2954119999	500.0
7599	1	sp|Q96B26|EXOS8_HUMAN	 	 	 	 	23.9	276	30039	Exosome complex component RRP43 OS=Homo sapiens (Human) OX=9606 GN=EXOSC8 PE=1 SV=1	15	15	1.000	15	15	15.000	15	1236955.750003	1256195.642578	1284305.968996	1464903.4492200003	1456757.285157	1518027.7587910001	1306959.0283199998	1118884.3264159998	1233719.2099599997	1081664.955322	22664.598632999994
7600	1	sp|Q96B45|BORC7_HUMAN	 	 	 	 	49.1	106	11695	BLOC-1-related complex subunit 7 OS=Homo sapiens (Human) OX=9606 GN=BORCS7 PE=3 SV=2	3	3	1.000	3	3	3.000	3	196343.88183600002	200725.688476	200266.603515	232462.81836	230259.572265	236783.544922	229739.060547	196394.23535200002	184050.120117	192260.46875	8364.546875
7601	1	sp|Q96B67|ARRD3_HUMAN	 	 	 	 	9.2	414	46394	Arrestin domain-containing protein 3 OS=Homo sapiens (Human) OX=9606 GN=ARRDC3 PE=1 SV=1	2	2	1.000	2	2	2.000	2	22262.913575	15525.982422	19754.691406	21046.475586	18124.586425	23667.539062	19620.577637000002	18156.79248	15955.917968999998	18359.11084	500.0
7602	1	sp|Q96B70|LENG9_HUMAN	 	 	 	 	15.2	501	53166	Leukocyte receptor cluster member 9 OS=Homo sapiens (Human) OX=9606 GN=LENG9 PE=2 SV=2	8	8	1.000	8	8	8.000	8	582796.7885749999	510603.41259799997	576270.2612300001	647950.8535160001	597252.12207	667314.845704	575242.106446	486021.770509	524979.994141	500271.32519500004	2743.717529
7603	1	sp|Q96B77|TM186_HUMAN	 	 	 	 	12.7	213	24893	Transmembrane protein 186 OS=Homo sapiens (Human) OX=9606 GN=TMEM186 PE=2 SV=1	3	3	1.000	3	3	3.000	3	187718.769531	180914.881348	191830.42675800002	206471.38379	199042.340821	216059.373047	187959.06347700002	170731.866211	178872.782227	170072.839843	4748.24707
7604	1	sp|Q96B96|TM159_HUMAN	 	 	 	 	13.0	161	17522	Promethin OS=Homo sapiens (Human) OX=9606 GN=TMEM159 PE=1 SV=2	3	3	1.000	3	3	3.000	3	493462.15820299997	410753.202148	503575.643555	484275.381836	549051.583985	556867.8476559999	529230.877929	390727.14257799997	518543.3125	396589.192871	27774.323731
7605	1	sp|Q96B97|SH3K1_HUMAN	 	 	 	 	11.1	665	73125	SH3 domain-containing kinase-binding protein 1 OS=Homo sapiens (Human) OX=9606 GN=SH3KBP1 PE=1 SV=2	14	14	1.000	14	14	14.000	14	754292.861329	607523.7089849999	1022600.5859380001	1359016.6875	946274.1621080001	898716.0888680001	662737.9746099999	676809.765626	501474.754882	714534.9404300002	6912.211669
7606	1	sp|Q96BD5|PF21A_HUMAN	 	 	 	 	3.7	680	74853	PHD finger protein 21A OS=Homo sapiens (Human) OX=9606 GN=PHF21A PE=1 SV=1	3	3	1.000	3	3	3.000	3	666958.023438	608644.304688	615359.6054679999	711303.390625	654650.585937	666892.921876	633403.632813	510974.601563	581893.554688	537482.9648440001	20278.309814
7607	1	sp|Q96BD8|SKA1_HUMAN	 	 	 	 	9.8	255	29484	Spindle and kinetochore-associated protein 1 OS=Homo sapiens (Human) OX=9606 GN=SKA1 PE=1 SV=1	3	3	1.000	3	3	3.000	3	237903.976562	230695.648437	247841.308594	234649.23047	238001.261719	261919.167969	220990.242188	192667.914063	201065.976562	188351.910156	8262.237549
7608	1	sp|Q96BF6|NACC2_HUMAN	 	 	 	 	7.3	587	62836	Nucleus accumbens-associated protein 2 OS=Homo sapiens (Human) OX=9606 GN=NACC2 PE=1 SV=1	4	4	1.000	4	4	4.000	4	109533.564208	109327.96069400001	105116.36499100001	115890.952881	111911.109375	119526.498047	109649.60595699999	89952.69384800001	109745.96972699999	102320.097169	2076.8754879999997
7609	1	sp|Q96BH1|RNF25_HUMAN	 	 	 	 	4.6	459	51218	E3 ubiquitin-protein ligase RNF25 OS=Homo sapiens (Human) OX=9606 GN=RNF25 PE=1 SV=1	5	5	1.000	5	5	5.000	5	323105.281249	281871.257813	339969.869141	345851.458984	376225.484375	382693.371094	331694.087891	275100.919921	297193.410156	273807.21875	8387.101562
7610	1	sp|Q96BI1|S22AI_HUMAN	 	 	 	 	5.7	424	44845	Solute carrier family 22 member 18 OS=Homo sapiens (Human) OX=9606 GN=SLC22A18 PE=1 SV=3	2	2	1.000	2	2	2.000	2	212142.636719	187845.718262	207766.047852	235372.255371	198510.900391	214242.494629	198370.77002	173585.424805	165739.581055	158920.266602	2638.740479
7611	1	sp|Q96BI3|APH1A_HUMAN	 	 	 	 	7.5	265	28996	Gamma-secretase subunit APH-1A OS=Homo sapiens (Human) OX=9606 GN=APH1A PE=1 SV=1	3	3	1.000	3	3	3.000	3	616445.539062	611795.609375	709983.3125	900579.304687	749150.6757809999	849429.3867190001	679169.6835940001	908799.9179690001	1060152.2578130001	998445.015625	82175.445312
7612	1	sp|Q96BJ3|AIDA_HUMAN	 	 	 	 	16.3	306	35023	Axin interactor, dorsalization-associated protein OS=Homo sapiens (Human) OX=9606 GN=AIDA PE=1 SV=1	6	6	1.000	6	6	6.000	6	965623.609375	842317.427734	872060.394532	1041480.826172	1007575.0878910001	1109475.40625	882218.1757809999	925370.951172	1007962.138671	1002223.3164049999	21492.763428
7613	1	sp|Q96BJ8|ELMO3_HUMAN	 	 	 	 	12.5	720	81466	Engulfment and cell motility protein 3 OS=Homo sapiens (Human) OX=9606 GN=ELMO3 PE=1 SV=3	11	11	1.000	11	11	11.000	11	1545783.580079	1272106.889159	1467309.602539	1638976.458009	1523542.426757	1858299.3388669998	1471768.458985	1472318.391602	1612579.564453	1545760.3701169998	59269.28125000001
7614	1	sp|Q96BK5|PINX1_HUMAN	 	 	 	 	14.9	328	37034	PIN2/TERF1-interacting telomerase inhibitor 1 OS=Homo sapiens (Human) OX=9606 GN=PINX1 PE=1 SV=2	6	6	1.000	6	6	6.000	6	396829.476564	337975.408202	345581.41015699995	348595.217773	391081.25195299997	323391.37207	349099.817383	276005.978516	394946.785156	291606.533692	3033.513062
7615	1	sp|Q96BM9|ARL8A_HUMAN	 	 	sp|Q96BM9|ARL8A_HUMAN, sp|Q9NVJ2|ARL8B_HUMAN	 	51.1	186	21416	ADP-ribosylation factor-like protein 8A OS=Homo sapiens (Human) OX=9606 GN=ARL8A PE=1 SV=1	35	9	0.257	35	9	18.360	9	3391210.683594	3026061.789063	3224214.3769529997	3740923.435547	3473945.199219	3765262.50586	3279354.474611	2467922.612305	2683924.887695	2571566.648437	11104.854004
7616	1	sp|Q96BN2|TADA1_HUMAN	 	 	 	 	28.4	335	37381	Transcriptional adapter 1 OS=Homo sapiens (Human) OX=9606 GN=TADA1 PE=1 SV=1	9	9	1.000	9	9	9.000	9	462888.292967	431915.286134	478389.694335	500366.640625	495156.996094	499503.890624	457009.148437	398703.71777299995	434736.277345	431596.38671800005	12134.649414000001
7617	1	sp|Q96BN8|OTUL_HUMAN	 	 	 	 	22.7	352	40262	Ubiquitin thioesterase otulin OS=Homo sapiens (Human) OX=9606 GN=OTULIN PE=1 SV=3	14	14	1.000	14	14	14.000	14	3206374.389281	3033559.9923100006	3209532.855957	3842991.952148	3533922.840577	3870362.9312770003	3202229.0131840003	2582922.73816	3046910.2497560005	2746202.760621	48229.636717999994
7618	1	sp|Q96BP3|PPWD1_HUMAN	 	 	 	 	40.9	646	73574	Peptidylprolyl isomerase domain and WD repeat-containing protein 1 OS=Homo sapiens (Human) OX=9606 GN=PPWD1 PE=1 SV=1	52	52	1.000	52	52	52.000	52	9954992.726561	9603815.979493003	9583333.822269	12396176.950194001	11610376.548831996	13251858.092774	10636948.557616998	12451240.658201002	14230808.032713998	13353295.510742001	408557.1395260001
7619	1	sp|Q96BQ5|CC127_HUMAN	 	 	 	 	17.7	260	30834	Coiled-coil domain-containing protein 127 OS=Homo sapiens (Human) OX=9606 GN=CCDC127 PE=1 SV=1	8	8	1.000	8	8	8.000	8	1249970.703126	1220692.3212889999	1211808.336915	1362984.291991	1446608.449217	1462336.109375	1173324.419922	940558.8554700001	1068038.697265	1087273.7089860002	34229.883179
7620	1	sp|Q96BR1|SGK3_HUMAN	 	 	 	 	4.0	496	57107	Serine/threonine-protein kinase Sgk3 OS=Homo sapiens (Human) OX=9606 GN=SGK3 PE=1 SV=1	3	3	1.000	3	3	3.000	3	280066.457031	233066.527344	240250.660157	290358.660156	291644.179688	289183.894531	293293.3125	236720.253906	296112.882813	255778.980469	2751.652588
7621	1	sp|Q96BR5|COA7_HUMAN	 	 	 	 	27.3	231	25709	Cytochrome c oxidase assembly factor 7 OS=Homo sapiens (Human) OX=9606 GN=COA7 PE=1 SV=2	16	16	1.000	16	16	16.000	16	5376825.5273440005	4153639.38086	4594872.790040001	5380904.603515	4807328.979002999	5542679.715822001	4805981.552246	4158788.732423	5170125.524413999	4152845.520997	154343.684326
7622	1	sp|Q96BS2|CHP3_HUMAN	 	 	 	 	18.2	214	24750	Calcineurin B homologous protein 3 OS=Homo sapiens (Human) OX=9606 GN=TESC PE=1 SV=3	3	3	1.000	3	3	3.000	3	98343.554688	112122.859375	129836.416016	121198.458985	107102.795898	125933.408203	106591.400391	97961.78027300001	101257.146484	103566.352539	500.0
7623	1	sp|Q96BW1|UPP_HUMAN	 	 	 	 	6.5	309	33786	Uracil phosphoribosyltransferase homolog OS=Homo sapiens (Human) OX=9606 GN=UPRT PE=1 SV=1	2	2	1.000	2	2	2.000	2	129588.742188	130203.23437399999	138021.582031	159830.464844	157578.53125000003	160368.464844	144267.230469	136934.539063	152445.257813	151044.132813	4985.035645
7624	1	sp|Q96BW5|PTER_HUMAN	 	 	 	 	9.2	349	39017	Phosphotriesterase-related protein OS=Homo sapiens (Human) OX=9606 GN=PTER PE=1 SV=1	6	6	1.000	6	6	6.000	6	302385.908204	249418.80566500002	267429.738282	292714.117187	282363.37695199996	347240.70214899996	280409.757813	228115.301757	239748.47753899998	217817.345704	3721.424927
7625	1	sp|Q96BW9|TAM41_HUMAN	 	 	 	 	18.1	452	51066	Phosphatidate cytidylyltransferase, mitochondrial OS=Homo sapiens (Human) OX=9606 GN=TAMM41 PE=1 SV=2	9	9	1.000	9	9	9.000	9	826573.688477	779923.420899	847089.3193359999	906002.3671889999	855488.9130870001	964063.251953	821736.34668	672239.2304679999	771677.845705	765312.3935530001	8724.096069
7626	1	sp|Q96BX8|MOB3A_HUMAN	 	 	 	 	12.4	217	25464	MOB kinase activator 3A OS=Homo sapiens (Human) OX=9606 GN=MOB3A PE=1 SV=1	4	4	1.000	4	4	4.000	4	237423.917969	232860.664063	212679.169922	412681.718749	222269.103516	237503.205078	350412.917969	223339.005858	196646.591798	245268.96875	500.0
7627	1	sp|Q96BY6|DOC10_HUMAN	 	 	sp|Q5JSL3|DOC11_HUMAN, sp|Q96BY6|DOC10_HUMAN, sp|Q9BZ29|DOCK9_HUMAN	 	6.9	2186	249528	Dedicator of cytokinesis protein 10 OS=Homo sapiens (Human) OX=9606 GN=DOCK10 PE=1 SV=3	27	22	0.815	27	22	25.534	22	2476472.0175759997	2188032.871094	2508384.600586	3740216.035156	2813083.4882820006	2729725.380859	4002089.171875	1998375.8964820006	3149234.7949240003	2251183.273438	117552.811523
7628	1	sp|Q96BY7|ATG2B_HUMAN	 	 	sp|Q2TAZ0|ATG2A_HUMAN, sp|Q96BY7|ATG2B_HUMAN	 	10.4	2078	232760	Autophagy-related protein 2 homolog B OS=Homo sapiens (Human) OX=9606 GN=ATG2B PE=1 SV=5	22	21	0.955	22	21	21.636	21	2571780.9589850004	2366854.383789	2596063.611330001	2861179.3134769998	2791844.567871	2904117.722166	2565476.654296	2230670.7426750003	2389239.515626	2300429.759766	53392.46154800001
7629	1	sp|Q96BZ8|LENG1_HUMAN	 	 	 	 	7.6	264	30529	Leukocyte receptor cluster member 1 OS=Homo sapiens (Human) OX=9606 GN=LENG1 PE=1 SV=1	3	3	1.000	3	3	3.000	3	87724.777343	70144.56543	85202.993165	79959.067382	88448.691406	88330.193358	79579.10254	68846.03124899999	67454.586426	62453.37207	500.0
7630	1	sp|Q96BZ9|TBC20_HUMAN	 	 	 	 	4.2	403	45854	TBC1 domain family member 20 OS=Homo sapiens (Human) OX=9606 GN=TBC1D20 PE=1 SV=1	2	2	1.000	2	2	2.000	2	194986.421875	189384.890625	200474.554688	201092.867188	221363.0	247866.015625	177130.980469	164155.367188	167567.992188	168510.066406	5193.835449
7631	1	sp|Q96C01|F136A_HUMAN	 	 	 	 	55.8	138	15641	Protein FAM136A OS=Homo sapiens (Human) OX=9606 GN=FAM136A PE=1 SV=1	21	21	1.000	21	21	21.000	21	7999082.069337	7262954.814455001	8190186.375976001	8361191.116211001	8961797.443359999	9019663.800781999	7564557.119142	6380854.798829	6878440.819337	6739898.209961001	87814.872132
7632	1	sp|Q96C11|FGGY_HUMAN	 	 	 	 	7.1	551	59992	FGGY carbohydrate kinase domain-containing protein OS=Homo sapiens (Human) OX=9606 GN=FGGY PE=1 SV=2	3	3	1.000	3	3	3.000	3	128506.166015	116408.49853499999	143243.45459	152996.856446	156849.85058600002	158077.68652400002	130337.769043	120130.626953	155242.29736300002	125551.959961	500.0
7633	1	sp|Q96C12|ARMC5_HUMAN	 	 	 	 	4.2	935	97680	Armadillo repeat-containing protein 5 OS=Homo sapiens (Human) OX=9606 GN=ARMC5 PE=1 SV=2	5	5	1.000	5	5	5.000	5	395327.000001	376061.105469	424768.336915	445670.468751	432115.31933499995	440477.23242200003	371634.002929	332107.237305	373282.61230499996	367322.230468	23704.720336
